screen_name,retweet_count,plain_text_len,question_marks,esclamation_marks,emojis,hashtags,tags,urls,verbs,nouns,adjs,advs
RecipesIdeas,7,47,0,0,0,0,0,0,1,5,1,0
RecipesIdeas,4,74,0,0,0,0,0,0,4,5,0,1
RecipesIdeas,4,12,0,0,0,0,0,1,0,2,0,0
RecipesIdeas,0,54,0,0,0,0,0,0,1,6,1,0
RecipesIdeas,3,19,0,0,0,0,0,1,0,3,0,0
RecipesIdeas,0,56,0,0,0,0,0,0,4,5,0,1
RecipesIdeas,0,39,0,0,0,0,0,0,2,3,1,0
RecipesIdeas,1,21,0,0,0,0,0,1,0,3,0,0
RecipesIdeas,1,40,0,0,0,0,0,0,1,5,1,0
RecipesIdeas,8,15,0,0,0,0,0,1,0,3,0,0
RecipesIdeas,2,72,0,0,0,0,0,0,2,6,1,0
RecipesIdeas,5,17,0,0,0,0,0,1,0,2,1,0
RecipesIdeas,4,102,0,0,0,0,0,0,4,6,1,2
RecipesIdeas,6,78,0,0,0,0,0,0,4,6,2,0
RecipesIdeas,3,25,0,0,0,0,0,1,0,4,0,0
RecipesIdeas,5,90,0,0,0,0,0,0,4,3,2,0
RecipesIdeas,4,17,0,0,0,0,0,1,1,2,0,0
RecipesIdeas,7,83,0,0,0,0,0,0,4,7,2,0
RecipesIdeas,0,93,0,0,0,0,0,0,5,7,0,2
RecipesIdeas,3,22,0,0,0,0,0,1,0,3,0,0
